b  "Zb [km]" "Hb [km]" "Tb [K]"	"Lb [K/km]" "pb [mbar]"
0     0.0      0.0     288.15      -6.5      1013.25
1    11.119   11.0 	216.65      0.0      226.32
2    20.063   20.0  	216.65 	    1.0      54.7487
3    32.162   32.0 	228.65      2.8      8.68014
4    47.350   47.0 	270.65      0.0      1.10905
5    52.429   52.0 	270.65     -2.0      0.590005
6    62.611   61.0 	252.65     -4.0      0.182099
7    79.994   79.0 	180.65      0.0      0.010377
8    90.0     88.743 	180.65      3.0      0.0016438
9   100.0     98.451 	210.65      5.0      0.00030075
10  110.0    108.129 	260.65     10.0      7.3544e-05
11  120.0    117.776 	360.65     20.0      2.5217e-05
12  150.0    146.541 	960.65     15.0      5.0617e-06
13  160.0    156.071   1110.65     10.0      3.6943e-06
14  170.0    165.571   1210.65      7.0      2.7926e-06
15  190.0    184.485   1350.65      5.0      1.6852e-06
16  230.0    221.967   1550.65      4.0      6.9604e-07
17  300.0    286.476   1830.65      3.3      1.8838e-07
18  400.0    376.312   2160.65      2.6      4.0304e-08
19  500.0    463.526   2420.65      1.7      1.0957e-08
20  600.0    548.230   2590.65      1.1      3.4502e-09
21  700.0    630.530   2700.65      0.0      1.1918e-09
